,task_id,participant_id,citation_design,context_stakeness,source_reliability,task_duration,task_num_clicks,task_num_sr_clicks,task_num_aio_clicks,task_num_cd_clicks,task_show_more_clicks,task_num_external_clicks,task_time_aio,task_time_sr,task_time_cd,task_time_sr_aio,task_time_fraction_sr,task_time_fraction_aio,task_time_fraction_cd,task_num_mouse_movements,task_num_scrolls,task_num_down_scrolls,task_num_up_scrolls,task_median_scroll_duration,task_median_up_scroll_duration,task_median_down_scroll_duration,task_median_scroll_distance,task_median_up_scroll_distance,task_median_down_scroll_distance
28,1,5953668fb2e8430001ea478f,number,high,high_reliability,18613,0,0,0,0,0,0,6.448,0.0,0.0,6.448,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,595a4437caff060001c0f176,domain,low,original,63295,1,0,1,0,1,0,1.0578000000000174,6.444699999999982,0.0,7.5025,0.8590069976674419,0.1409930023325581,0.0,0,5,3,2,0.3782000000000121,0.4642499999999714,0.3782000000000121,0.8000001907348633,-143.2000002861023,4.0
30,1,59692f4467a8600001b714e1,number,low,low_reliability,11663,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,5970ccd08df9300001dab39d,number,low,original,37128,1,1,0,0,0,1,0.1316999999997206,3.9588000000002785,0.0,4.090499999999999,0.9678034470114362,0.0321965529885639,0.0,1,2,1,1,0.3716500000001388,0.3541000000000913,0.3892000000001863,-0.5,-299.0,298.0
32,1,597e220e30b1d90001f5f14a,icon,low,original,171987,6,6,0,0,0,6,3.586400000095368,49.71399999856949,0.0,53.30039999866486,0.9327134505522434,0.0672865494477565,0.0,6,8,5,3,0.4649500002860947,0.4856000003814529,0.4443000001907364,131.60001373291016,-249.5999755859375,308.80000019073486
33,1,59a761ca1363d90001676931,domain,high,original,20474,1,0,1,0,1,0,3.68790000000014,9.408399999999906,0.0156000000000931,13.096300000000046,0.7184013805425863,0.2815986194574137,0.0011911761337242,0,3,2,1,0.3449999999999988,0.3449999999999988,0.3840000000000003,98.39999997615814,-298.3999938964844,148.40000075101852
34,1,59a7cfeb7ff2320001ec59d9,icon,high,original,15719,0,0,0,0,0,0,8.9725,0.0,0.0,8.9725,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,59e71a97896cfc0001921899,number,high,original,78099,1,1,0,0,0,1,12.605799999952316,4.494700000047684,0.1337000000476837,17.1005,0.2628402678312145,0.7371597321687855,0.007818484842413,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,59f6f51505d1d60001f14418,domain,low,low_reliability,165856,3,3,0,0,0,3,7.442199999999721,21.732900000000377,0.0312999999998137,29.17510000000009,0.7449126138385236,0.2550873861614767,0.0010728326552372,3,6,4,2,0.4003500000000883,0.3427000000001783,0.4759999999999991,98.40000915527344,-448.40000915527344,148.4000244140625
37,1,59ff1a23f2e3460001eda6d5,icon,high,original,25244,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,1,0.5259999999999998,1.0060000000000002,0.4039999999999999,100.0,-435.0,156.5
38,1,5a0c4184fe645f0001e9f5dd,icon,high,original,52498,0,0,0,0,0,0,20.74360000000056,23.071299999998885,0.0,43.81489999999944,0.5265628815767964,0.4734371184232036,0.0,0,11,7,4,0.3877999999998138,0.3554500000001859,0.3944000000003727,198.6666259765625,-448.6666412353515,198.6666717529297
39,1,5a1dcd14f2e3460001edcabf,icon,high,low_reliability,24437,1,0,1,0,1,0,10.6355,3.035600000143051,0.0,13.671100000143053,0.222045043932916,0.7779549560670841,0.0,0,7,4,3,0.3709000000953679,0.3647000000476836,0.3742000000476841,484.0,-782.0,499.0
